Data,Nível,Taxa Chuva (mm/h),Chuva Acum. Dia (mm),Temp (ºC)
13/03/2025 13:00,1.42,0.0,0.0,27.9
13/03/2025 12:00,1.44,0.0,0.0,26.4
13/03/2025 11:00,1.44,0.0,0.0,25.3
13/03/2025 10:00,1.46,0.0,0.0,23.8
13/03/2025 09:00,1.47,0.0,0.0,22.6
13/03/2025 08:00,1.48,0.0,0.0,21.9
13/03/2025 07:00,1.48,0.0,0.0,21.3
13/03/2025 06:00,1.48,0.0,0.0,21.6
13/03/2025 05:00,1.47,0.0,0.0,21.8
13/03/2025 04:00,1.46,0.0,0.0,21.8
13/03/2025 03:00,1.46,0.0,0.0,21.9
13/03/2025 02:00,1.45,0.0,0.0,21.9
13/03/2025 01:00,1.44,0.0,0.0,21.8
13/03/2025 00:00,1.45,0.0,0.0,22.4
12/03/2025 23:00,1.45,0.0,0.0,22.5
12/03/2025 22:00,1.46,0.0,0.0,22.8
12/03/2025 21:00,1.46,0.0,0.0,23.1
12/03/2025 20:00,1.44,0.0,0.0,23.6
12/03/2025 19:00,1.44,0.0,0.0,24.4
12/03/2025 18:00,1.44,0.0,0.0,25.7
12/03/2025 17:00,1.37,0.0,0.0,27.7
12/03/2025 16:00,1.38,0.0,0.0,28.9
12/03/2025 15:00,1.37,0.0,0.0,29.8
12/03/2025 14:00,1.42,0.0,0.0,28.9
12/03/2025 13:00,1.46,0.0,0.0,28.2
12/03/2025 12:00,1.49,0.0,0.0,26.5
12/03/2025 11:00,1.49,0.0,0.0,25.4
12/03/2025 10:00,1.49,0.0,0.0,24.4
12/03/2025 09:00,1.49,0.0,0.0,24.2
,,,,
12/03/2025 08:00,1.52,0.0,0.0,21.8
12/03/2025 07:00,1.52,0.0,0.0,20.6
12/03/2025 06:00,1.5,0.0,0.0,20.5
12/03/2025 05:00,1.48,0.0,0.0,20.3
12/03/2025 04:00,1.44,0.0,0.0,20.3
12/03/2025 03:00,1.44,0.0,0.0,20.3
12/03/2025 02:00,1.43,0.0,0.0,20.3
12/03/2025 01:00,1.46,0.0,0.0,20.6
12/03/2025 00:00,1.46,0.0,7.8,21.0
11/03/2025 23:00,1.49,0.0,7.8,21.3
11/03/2025 22:00,1.49,0.8,7.8,21.6
11/03/2025 21:00,1.44,0.0,0.0,23.1
11/03/2025 20:00,1.44,0.0,0.0,23.2
11/03/2025 19:00,1.44,0.0,0.0,23.6
11/03/2025 18:00,1.44,0.0,0.0,24.1
11/03/2025 17:00,1.43,0.0,0.0,24.7
11/03/2025 16:00,1.4,0.0,0.0,25.1
11/03/2025 15:00,1.45,0.0,0.0,24.8
11/03/2025 14:00,1.43,0.0,0.0,25.1
11/03/2025 13:00,1.43,0.0,0.0,24.8
11/03/2025 12:00,1.45,0.0,0.0,23.4
11/03/2025 11:00,1.44,0.0,0.0,23.3
11/03/2025 10:00,1.47,0.0,0.0,21.8
11/03/2025 09:00,1.51,0.0,0.0,20.4
11/03/2025 08:00,1.57,0.0,0.0,19.4
11/03/2025 07:00,1.57,0.0,0.0,19.2
11/03/2025 06:00,1.57,0.0,0.0,19.5
11/03/2025 05:00,1.59,0.0,0.0,20.3
11/03/2025 04:00,1.6,0.0,0.0,20.4
,,,,
11/03/2025 03:00,1.61,0.0,0.0,20.4
11/03/2025 02:00,1.63,0.0,0.0,20.5
11/03/2025 01:00,1.63,0.0,0.0,20.6
11/03/2025 00:00,1.63,0.0,0.0,20.7
10/03/2025 23:00,1.64,0.0,0.0,21.2
10/03/2025 22:00,1.66,0.0,0.0,21.4
10/03/2025 21:00,1.66,0.0,0.0,21.7
10/03/2025 20:00,1.66,0.0,0.0,22.1
10/03/2025 19:00,1.67,0.0,0.0,23.1
10/03/2025 18:00,1.64,0.0,0.0,23.8
10/03/2025 17:00,1.51,0.0,0.0,25.1
10/03/2025 16:00,1.58,0.0,0.0,24.7
10/03/2025 15:00,1.6,0.0,0.0,24.8
10/03/2025 14:00,1.64,0.0,0.0,25.1
10/03/2025 13:00,1.63,0.0,0.0,25.5
10/03/2025 12:00,1.6,0.0,0.0,26.4
10/03/2025 11:00,1.63,0.0,0.0,25.1
10/03/2025 10:00,1.65,0.0,0.0,24.0
10/03/2025 09:00,1.67,0.0,0.0,21.8
10/03/2025 08:00,1.7,0.0,0.0,20.8
10/03/2025 07:00,1.72,0.0,0.0,19.8
10/03/2025 06:00,1.72,0.0,0.0,19.9
10/03/2025 05:00,1.72,0.0,0.0,20.3
10/03/2025 04:00,1.69,0.0,0.0,20.3
10/03/2025 03:00,1.67,0.0,0.0,20.9
10/03/2025 02:00,1.64,0.0,0.0,21.3
10/03/2025 01:00,1.58,0.0,0.0,21.2
10/03/2025 00:00,1.54,0.0,25.4,21.3
